external_id,nom,prenom,date_naissance,sexe,email,num_secu,source_system,date_import
SRC001,Diallo,Aminata,12/06/1985,F,aminata.diallo@example.com,2850612345678,SOURCE_CSV,2024-01-01
SRC002,Ba,Moussa,22/03/1978,M,moussa.ba@example.com,2780322456789,SOURCE_CSV,2024-01-01
SRC003,Sow,Fatou,10/09/1990,F,fatou.sow@example.com,2900912345678,SOURCE_CSV,2024-01-01
SRC004,Ndiaye,Ibrahima,01/12/1982,M,ibrahima.ndiaye@example.com,2821212345678,SOURCE_CSV,2024-01-01
SRC005,Fall,Awa,18/04/1995,F,awa.fall@example.com,2950412345678,SOURCE_CSV,2024-01-01
SRC006,Diop,Cheikh,30/08/1975,M,cheikh.diop@example.com,2750812345678,SOURCE_CSV,2024-01-01
SRC007,Camara,Mariama,25/11/1988,F,mariama.camara@example.com,2881112345678,SOURCE_CSV,2024-01-01
SRC008,Gueye,Abdou,14/02/1980,M,abdou.gueye@example.com,2800212345678,SOURCE_CSV,2024-01-01
SRC009,Kane,Seynabou,07/07/1992,F,seynabou.kane@example.com,2920712345678,SOURCE_CSV,2024-01-01
SRC010,Faye,Alioune,19/01/1983,M,alioune.faye@example.com,2830112345678,SOURCE_CSV,2024-01-01
SRC011,Mbaye,Khady,05/05/1991,F,khady.mbaye@example.com,2910512345678,SOURCE_CSV,2024-01-01
SRC012,Thiam,Mamadou,30/10/1979,M,mamadou.thiam@example.com,2791012345678,SOURCE_CSV,2024-01-01
SRC013,Sy,Aissatou,17/03/1986,F,aissatou.sy@example.com,2860312345678,SOURCE_CSV,2024-01-01
SRC014,Cissé,Ousmane,23/07/1984,M,ousmane.cisse@example.com,2840712345678,SOURCE_CSV,2024-01-01
SRC015,Barry,Ndeye,11/12/1993,F,ndeye.barry@example.com,2931212345678,SOURCE_CSV,2024-01-01
SRC016,Seck,Babacar,09/09/1977,M,babacar.seck@example.com,2770912345678,SOURCE_CSV,2024-01-01
SRC017,Sarr,Aminata,04/04/1989,F,aminata.sarr@example.com,2890412345678,SOURCE_CSV,2024-01-01
SRC018,Lo,Moussa,06/06/1981,M,moussa.lo@example.com
